id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
730496,"Mushroom, Lemon and Lentil Salad",https://spoonacular.com/recipeImages/730496-312x231.jpg,middle eastern,9,70,http://www.deliciouseveryday.com/mushroom-lemon-lentil-salad/,149.18,100.0,116220,True,True,True,True,2,"Begin by cooking the lentils. Place the lentils and water in a saucepan and bring to a boil before reducing to a simmer. Simmer for 25 minutes or until the lentils are tender. Drain and set aside to cool. Place a large frying pan over a high heat and add 2 tsp of olive oil. When the pan has come to heat add half the mushrooms. Leave for 1 to 2 minutes before stirring. The mushrooms should be lightly golden. Cook for a further minute before removing from the pan and repeating with the second batch. Reduce the heat to medium low and return the mushrooms to the pan and add the garlic and chilli flakes and cook for 2 minutes, or until the garlic is fragrant, but not browned as it will taste bitter. Set aside to cool. Toss the lentils, mushroom and garlic together along with the lemon juice and the extra virgin olive oil. Season to taste and add the parsley and rocket just as you're serving.","You can never have too many side dish recipes, so give Mushroom, Lemon and Lentil Salad a try. For <b>$1.49 per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. One serving contains <b>336 calories</b>, <b>18g of protein</b>, and <b>15g of fat</b>. 116219 people have tried and liked this recipe. Head to the store and pick up water, sea salt and pepper, extra virgin olive oil, and a few other things to make it today. From preparation to the plate, this recipe takes around <b>1 hour and 10 minutes</b>. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/mushroom-lemon-and-lentil-salad-556023"">Mushroom, Lemon and Lentil Salad</a>, <a href=""https://spoonacular.com/recipes/mushroom-lemon-and-lentil-salad-555729"">Mushroom, Lemon and Lentil Salad</a>, and <a href=""https://spoonacular.com/recipes/rosemary-roasted-potato-mushroom-and-lentil-kale-salad-702951"">Rosemary Roasted Potato, Mushroom, and Lentil Kale Salad</a> for similar recipes.","300g mix of button and portobello mushrooms, sliced; 1/4 tsp chilli flakes, or more to taste; 1 Tbs good quality extra virgin olive oil; 2 tbsp flat leaf parsley, roughly chopped; 2 cloves of garlic, finely chopped; 1 Tbs lemon juice; 1/2 cup French Lentils; 1 Tbs olive oil; 1/2 cup rocket (arugula); sea salt and pepper, to taste; 2 cups water",336,15g,36g,18g
552597,Campanelle with Pan-Roasted Garlic Brussels Sprouts & Pine Nuts,https://spoonacular.com/recipeImages/552597-312x231.jpg,middle eastern,13,30,http://www.bakeyourday.net/campanelle-with-pan-roasted-garlic-brussels-sprouts-pine-nuts/,217.53,85.0,2671,False,False,False,False,4,"Cook the pasta in salted water according to the package directions.  While the pasta cooks, toast the pine nuts over medium heat until fragrant.  Set aside.  Heat one tablespoon of olive oil in a large non-stick skillet.  Add the garlic and stir constantly until fragrant and golden brown.  Remove the garlic from the pan, leaving as much oil in the pan as possible.  Add the sprouts in a single layer, cut side down and cook for about 4 minutes, until the cut sides begin to brown.  Add salt, pepper and thyme and toss.  Cook for an additional 2-3 minutes, until the sprouts are tender and browned evenly.  Add the wine and stir.  Allow the wine to reduce a bit, add the remaining olive oil, parmesan cheese, reserved garlic, pine nuts and cooked pasta.  Stir to coat well.Serve with more Parmesan cheese for garnish.Cassie’s Notes:If you don’t like Brussels Sprouts, then try them again!  Just kidding – you can sub broccoli, cauliflower or asparagus for the sprouts.","Campanelle with Pan-Roasted Garlic Brussels Sprouts & Pine Nuts might be just the main course you are searching for. This recipe makes 4 servings with <b>488 calories</b>, <b>16g of protein</b>, and <b>23g of fat</b> each. For <b>$2.18 per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. 2671 person were impressed by this recipe. If you have brussels sprouts, wine, salt, and a few other ingredients on hand, you can make it. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/roasted-brussels-sprouts-with-pine-nuts-92558"">Roasted Brussels Sprouts With Pine Nuts</a>, <a href=""https://spoonacular.com/recipes/roasted-brussels-sprouts-with-cabbage-and-pine-nuts-522252"">Roasted Brussels Sprouts with Cabbage and Pine Nuts</a>, and <a href=""https://spoonacular.com/recipes/roasted-brussels-sprouts-with-cranberries-and-pine-nuts-551040"">Roasted Brussels Sprouts with Cranberries and Pine Nuts</a>.","1 pound Brussels sprouts, trimmed and halved; 1 tsp. dried thyme; 2 cloves garlic, minced; 3 Tbs. olive oil; 1/4 cup freshly grated Parmesan cheese + more for garnish; 8 ounces campanelle pasta; 1/2 tsp. pepper; 2 ounces pine nuts; 1/2 tsp. salt; 1/4 cup white wine",488,23g,56g,16g
510624,Lemon Pesto Zucchini Sandwich,https://spoonacular.com/recipeImages/510624-312x231.jpg,middle eastern,12,27,http://www.peanutbutterandpeppers.com/2013/05/10/lemon-pesto-zucchini-sandwich/,269.04,86.0,606,False,False,False,False,1,"To make pesto; in a mini food processor add basil, garlic, parmesan cheese and lemon juice. Process until all combined and chopped. This will not be creamy. Place pesto in a bowl and add mayonnaise. Mix until creamy smooth. Add salt & pepper to taste. Refrigerate until ready to use.Spray a medium non-stick skillet with cooking spray, add onions and peppers. Cook until slightly tender, about 2 minutes; add zucchini; cook until soft about 10 minutes, stirring occasionally. (If the vegetables start to stick to the pan, add a touch of olive oil or chicken stock)Slice baguette horizontally, and carefully, pull the center of the bread so it's hollow and you have basically just the crust of the bread.Add pesto to both the insides of the bread and top with vegetables; tomato slices and top with cheese.Place in a broiler on the lower shelf; cook until the cheese is melted, about 4 minutes.","Lemon Pesto Zucchini Sandwich might be just the main course you are searching for. This recipe makes 1 servings with <b>450 calories</b>, <b>15g of protein</b>, and <b>6g of fat</b> each. For <b>$2.69 per serving</b>, this recipe <b>covers 32%</b> of your daily requirements of vitamins and minerals. Plenty of people made this recipe, and 606 would say it hit the spot. Head to the store and pick up mayonnaise, basil leaves, bell pepper, and a few other things to make it today. To use up the tomato you could follow this main course with the <a href=""https://spoonacular.com/recipes/pink-peony-popcorn-balls-129348"">Pink Peony Popcorn Balls</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>27 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/lemon-and-pesto-zucchini-542270"">Lemon and Pesto Zucchini</a>, <a href=""https://spoonacular.com/recipes/basil-lemon-pesto-pasta-with-zucchini-594107"">basil lemon pesto pasta with zucchini</a>, and <a href=""https://spoonacular.com/recipes/zucchini-salmon-cakes-with-lemon-dill-pesto-505031"">Zucchini Salmon Cakes with Lemon Dill Pesto</a> for similar recipes.","6"" french baguette (128 grams); 25 Basil Leaves; 1/3 cup (48 grams) sweet bell pepper, sliced thin; 1 tbsp. mayonnaise, fat free; 1 tsp. garlic, minced; 1 tbsp. lemon juice; 0.03 grams mozzarella cheese, lite; 1/3 cup (74 grams) onion, sliced thin; 1 tsp. Parmesan cheese, grated; 3 slices, tomato, cut thin; 1 medium (100 grams) zucchini, sliced thin",450,6g,85g,15g
720048,Chicken and Broccoli Noodle Casserole Skinnytaste,https://spoonacular.com/recipeImages/720048-312x231.jpg,middle eastern,18,45,http://www.skinnytaste.com/2012/02/chicken-and-broccoli-noodle-casserole.html,239.46,48.0,261585,False,False,False,False,3,"Shredded chicken breast and broccoli cooked with noodles in a light creamy sauce topped with toasted breadcrumbs. A simple dish the whole family will love, even the little ones!This is an inexpensive dish, you can make this ahead, then top it with the breadcrumbs and put it in the oven 20 minutes before you are ready for dinner.I have a great tip I've talked about before but if you are new here you will love this!I buy chicken breast in bulk because it's less expensive. When I get home from the store I separate the chicken placing some in my refrigerator to use right away, I take a portion and place them in freezer bags to freeze for the future and I set two or three chicken breasts aside and throw them in my crock pot. I pour some water over them and 4-6 hours later I have perfect shredded chicken to use in other recipes though out the week such as enchiladas, chicken salad, stuffed peppers, or whatever! A great way to save time in the kitchen and only takes minutes to do.Chicken and Broccoli Noodle CasseroleSkinnytaste.comServings: 6  Serving Size: 1/6th  Points +: 8pts  Smart Points: 8Calories: 313  Fat: 9.9 g  Protein: 27.2 g  Carb: 31.2 g  Fiber: 4.4 g  Sugar: 2.6 gSodium: 256.7 mg (without salt)Ingredients:6 oz Ronzoni Smart taste noodles (or no-yolk)2 tsp oil4 cloves garlic, sliced thin12 oz fresh broccoli florets, chopped1 tbsp butter1 medium shallot, minced3 tbsp all purpose flour1-3/4 cups fat free chicken broth1 cup 1% milk12 oz cooked shredded chicken breast4 oz shredded reduced fat sharp cheddar (Sargento)cooking spray3 tbsp shredded parmesan cheese2 tbsp seasoned breadcrumbs (I used whole wheat)Directions:Cook noodles in salted water until al dente, or slightly undercooked by 2 minutes. Set aside.Heat oil in a large skillet. Add garlic and cook on medium heat until golden, about 1 minute. Add the broccoli and a little salt, saut and cover the broccoli for about 3 minutes on medium heat until the broccoli begins to soften. Set aside.Preheat the oven to 375. Lightly spray a 9 x 12 casserole dish with cooking spray.In a large pot, heat butter over medium-low heat, when melted add the shallot and cook until soft, 2-3 minutes. Add the flour and a pinch of salt and stir well, cooking an additional 2-3 minutes on medium-low heat.Slowly whisk in the chicken broth until well combined over medium heat; whisk well for 30 seconds, then add the milk and bring to a boil. Simmer on medium heat, mixing occasionally until it thickens (about 6-7 minutes). Remove from heat and add reduced fat sharp cheddar and 1 tablespoon of the parmesan cheese; mix well until the cheese melts.Add the shredded chicken, noodles and broccoli to the sauce and mix well until evenly coated.Pour into a casserole dish and top with parmesan cheese and breadcrumbs. Spray a little more cooking spray on top and bake for about 20 - 25 minutes. Place the casserole under the broiler a few minutes to get the crumbs crisp and golden (careful not to burn).","You can never have too many main course recipes, so give Chicken and Broccoli Noodle Casserole Skinnytaste a try. For <b>$2.41 per serving</b>, this recipe <b>covers 41%</b> of your daily requirements of vitamins and minerals. One serving contains <b>733 calories</b>, <b>58g of protein</b>, and <b>25g of fat</b>. This recipe from Skinny Taste has 261585 fans. It can be enjoyed any time, but it is especially good for <b>Autumn</b>. If you have chicken broth, chicken breast, reduced fat sharp cheddar, and a few other ingredients on hand, you can make it. To use up the milk you could follow this main course with the <a href=""https://spoonacular.com/recipes/milky-way-brownie-bites-540544"">Milky Way Brownie Bites</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/orecchiette-pasta-with-chicken-sausage-and-broccoli-skinnytaste-688422"">Orecchiette Pasta with Chicken Sausage and Broccoli Skinnytaste</a>, <a href=""https://spoonacular.com/recipes/broccoli-mushroom-noodle-casserole-109946"">Broccoli Mushroom Noodle Casserole</a>, and <a href=""https://spoonacular.com/recipes/good-eats-broccoli-noodle-casserole-109528"">Good Eats Broccoli Noodle Casserole</a> for similar recipes.","3 tbsp all purpose flour; 12 oz fresh broccoli florets, chopped; 1 tbsp butter; 12 oz cooked shredded chicken breast; 1-3/4 cups fat free chicken broth; 4 cloves garlic, sliced thin; 1 cup 1% milk; 6 oz Ronzoni Smart taste noodles (or no-yolk); 2 tsp oil; 3 tbsp shredded parmesan cheese; 2 tbsp seasoned breadcrumbs (I used whole wheat); 1 medium shallot, minced; 4 oz shredded reduced fat sharp cheddar (Sargento)",701,23g,68g,55g
558636,5-Ingredient Salmon en Papillote,https://spoonacular.com/recipeImages/558636-312x231.jpg,middle eastern,3,45,http://www.fifteenspatulas.com/5-ingredient-salmon-en-papillote/,293.87,75.0,333,False,False,True,True,2,"Preheat the oven to 350 degrees F.Cut long rectangles of parchment paper for however many servings of fish you plan to prepare. I usually just do one long rectangle for my husband and I to share.Lay the parchment paper on a sheet pan, and lay the zucchini and sliced shallots on one half of the paper. Season liberally with salt and pepper, and toss it well with your fingers to coat evenly. Add the salmon, and season it with salt and pepper as well. Throw the dill on top and squeeze the lemon juice evenly over the ingredients.Seal the parchment paper well by repeatedly folding little sections over each other, taking care to make sure it is well sealed. You don't want any steam to escape. Bake for 15-25 minutes, depending on the thickness and size of your salmon. If you have a thinner salmon, bake for less time, and if you have a thicker salmon, aim for the 25 minutes. Tear open the parchment paper at the table, enjoy the aromas, and dig in! Enjoy.","5-Ingredient Salmon en Papillote might be just the main course you are searching for. One serving contains <b>189 calories</b>, <b>24g of protein</b>, and <b>8g of fat</b>. This caveman, gluten free, dairy free, and primal recipe serves 2 and costs <b>$2.94 per serving</b>. 333 people have tried and liked this recipe. A mixture of dill, juice of lemon, zucchini, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the juice of lemon you could follow this main course with the <a href=""https://spoonacular.com/recipes/fruit-juice-pops-433326"">Fruit Juice Pops</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/salmon-vegetables-en-papillote-659035"">Salmon & Vegetables En Papillote</a>, <a href=""https://spoonacular.com/recipes/salmon-en-papillote-with-vegetables-876057"">Salmon En Papillote with Vegetables</a>, and <a href=""https://spoonacular.com/recipes/salmon-en-papillote-with-vegetables-623025"">Salmon En Papillote with Vegetables</a> for similar recipes.","1 package of fresh dill; juice of 1/2 a lemon; 1/2 lb piece of salmon; salt and pepper; 1 shallot, sliced; 1 zucchini, sliced",189,8g,6g,24g
245794,Miso Glazed Salmon,https://spoonacular.com/recipeImages/245794-312x231.jpg,middle eastern,6,45,https://www.simplyrecipes.com/recipes/miso_glazed_salmon/,477.78,60.0,1021,False,False,True,True,4,"Mix the miso, sake, soy sauce, and sugar in a small bowl. Adjust proportions to taste.

Marinate the salmon: Pour half of the mixture into a container large enough to fit the salmon fillets, then pour the rest over the top of the fish. Make sure the fish is coated with the miso sauce.
Cover the container and marinate for at least 30 minutes, and up to overnight.

Broil the salmon: Line a broiling pan with aluminum foil. Brush a little vegetable oil over the foil and lay the salmon fillets on top. Make sure there is an even, thin coating of marinade on top of the fish.
Place the fillets no closer than about 6 inches from the broiler element in your oven. Broil for 6-10 minutes, depending on how thick the fillets are and how hot your broiler is.
 
Keep an eye on the salmon. The marinade has sugar in it that can easily cause the glaze to burn. If it starts charring and the cooking isn't yet finished, place the fish on a lower rack in the oven.
Serve with rice and stir-fried vegetables.","If you have approximately <b>45 minutes</b> to spend in the kitchen, Miso Glazed Salmon might be a super <b>gluten free, dairy free, and pescatarian</b> recipe to try. This recipe makes 4 servings with <b>294 calories</b>, <b>35g of protein</b>, and <b>11g of fat</b> each. For <b>$4.78 per serving</b>, this recipe <b>covers 25%</b> of your daily requirements of vitamins and minerals. Several people made this recipe, and 1021 would say it hit the spot. It is brought to you by Simply Recipes. It works well as a pretty expensive main course. If you have salmon fillets, soy sauce, sugar, and a few other ingredients on hand, you can make it. All things considered, we decided this recipe <b>deserves a spoonacular score of 0%</b>. This score is improvable. <a href=""https://spoonacular.com/recipes/miso-glazed-salmon-88171"">Miso- Glazed Salmon</a>, <a href=""https://spoonacular.com/recipes/miso-glazed-salmon-1071705"">Miso Glazed Salmon</a>, and <a href=""https://spoonacular.com/recipes/miso-glazed-salmon-319305"">Miso Glazed Salmon</a> are very similar to this recipe.",2 Tbsp red miso or 3 Tbsp white miso; 2 Tbsp sake; 2 Tbsp sugar (less or more to taste); 2 teaspoons soy sauce; 4 6-ounce skinless salmon fillets,294,11g,9g,35g
695187,Lamb Chops with Mashed Peas & Mint,https://spoonacular.com/recipeImages/695187-312x231.jpg,middle eastern,7,30,http://www.eatingwell.com/recipes/lamb_peas_mint.html,598.92,75.0,189,False,False,True,True,4,"Preheat oven to 375F.Heat 2 teaspoons oil in a medium saucepan over medium heat. Add garlic and cook, stirring, until fragrant and slightly softened, about 1 minute. Stir in peas, 3/4 cup water and 1/4 teaspoon salt. Bring to a boil. Reduce heat to medium, cover and cook for 5 minutes. Remove from heat.Sprinkle the remaining 1/2 teaspoon salt and pepper on both sides of lamb chops. Heat the remaining 2 teaspoons oil in a large, ovenproof, nonstick skillet over medium-high heat. Add the chops and cook until browned on one side, 1 1/2 to 2 minutes. Turn them over and transfer the pan to the oven.Roast until an instant-read thermometer inserted horizontally into a chop registers 135F for medium-rare, 8 to 12 minutes, depending on thickness.Meanwhile, transfer the pea mixture to a blender or food processor. Add mint; pulse until coarsely pureed, adding additional water a tablespoon at a time for desired consistency and scraping down the sides as needed.Serve the lamb with the pea puree.","Lamb Chops with Mashed Peas & Mint might be just the main course you are searching for. One serving contains <b>432 calories</b>, <b>52g of protein</b>, and <b>18g of fat</b>. This recipe serves 4 and costs $5.99 per serving. This recipe is liked by 189 foodies and cooks. If you have salt, garlic, lamb loin chops, and a few other ingredients on hand, you can make it. To use up the peas you could follow this main course with the <a href=""https://spoonacular.com/recipes/baby-ruth-cookies-397564"">Baby Ruth Cookies</a> as a dessert. From preparation to the plate, this recipe takes about <b>30 minutes</b>. It is a good option if you're following a <b>caveman, gluten free, dairy free, and primal</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/lamb-chops-and-early-spring-salad-and-mashed-garlic-mint-peas-n-potatoes-308822"">Lamb Chops and Early Spring Salad and Mashed Garlic-Mint Peas-n-Potatoes</a>, <a href=""https://spoonacular.com/recipes/mashed-potatoes-with-peas-and-mint-227540"">Mashed Potatoes with Peas and Mint</a>, and <a href=""https://spoonacular.com/recipes/lamb-pot-pies-with-peas-and-mint-71493"">Lamb Pot Pies With Peas And Mint</a> for similar recipes.","1 tablespoon chopped fresh mint; 3 large cloves garlic, chopped; 8 lamb loin chops (1 1/2-2 pounds total), trimmed; 4 teaspoons extra-virgin olive oil, divided; 2 cups frozen peas (12 ounces), thawed; 1/2 teaspoon freshly ground pepper; 3/4 teaspoon salt, divided; 3/4 cup water, plus more as needed",432,18g,13g,52g
697316,"Zucchini, Fennel & White Bean Pasta",https://spoonacular.com/recipeImages/697316-312x231.jpg,middle eastern,13,40,http://www.eatingwell.com/recipes/zucchini_fennel_bean_pasta.html,282.84,53.0,1230,False,False,False,False,4,"Preheat oven to 400F.Cut fennel bulb in half lengthwise and then slice lengthwise into 1/2-inch-thick wedges. Quarter zucchini lengthwise. Toss the fennel and zucchini with 1 tablespoon oil and salt. Arrange in a single layer on a large baking sheet. Roast, turning once, until soft and beginning to brown, about 20 minutes.Meanwhile, bring a large pot of water to a boil. Add pasta; cook until just tender, 8 to 10 minutes or according to package directions.Heat the remaining 2 tablespoons oil in a large skillet over medium heat. Add garlic and cook, stirring, for 30 seconds. Remove from the heat.When the vegetables are cool enough to handle, coarsely chop. Add the vegetables, beans and bean-cooking liquid (or other liquid) to the pan with the garlic and place over medium-low heat. Drain the pasta and immediately add it to the pan. Toss thoroughly and add tomatoes; toss until just warm. Remove from the heat and stir in cheese and mint. Season with pepper.","Zucchini, Fennel & White Bean Pasta might be just the main course you are searching for. This recipe makes 4 servings with <b>477 calories</b>, <b>20g of protein</b>, and <b>21g of fat</b> each. For <b>$2.46 per serving</b>, this recipe <b>covers 19%</b> of your daily requirements of vitamins and minerals. 1230 people have made this recipe and would make it again. Head to the store and pick up cannellini beans, fennel bulb, fresh goat cheese, and a few other things to make it today. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>40 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 95%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/braised-fennel-tomato-and-bean-zucchini-pasta-551888"">Braised Fennel, Tomato and Bean Zucchini Pasta</a>, <a href=""https://spoonacular.com/recipes/white-bean-fennel-soup-385720"">White Bean Fennel Soup</a>, and <a href=""https://spoonacular.com/recipes/swiss-chard-fennel-and-white-bean-gratin-195224"">Swiss Chard, Fennel, and White Bean Gratin</a> for similar recipes.","1 cup cooked cannellini beans, plus 1/2 cup bean-cooking liquid, pasta-cooking liquid or water (see Tip); 1 large fennel bulb, trimmed; 1/4 cup fresh mint leaves; 2 cloves garlic, finely chopped; 3/4 cup crumbled hard, aged goat cheese, or fresh goat cheese; 3 tablespoons extra-virgin olive oil, divided; Freshly ground pepper to taste; 2 plum tomatoes, diced; 1/4 teaspoon salt; 8 ounces (2 cups) whole-wheat penne or similar short pasta; 2 medium zucchini",500,21g,60g,20g
629132,Easy Crab Curry,https://spoonacular.com/recipeImages/629132-312x231.jpg,middle eastern,3,30,http://civilizedcavemancooking.com/recipes/seafood/easy-crab-curry/,172.05,64.0,155,False,False,True,True,4,"If using whole crabs, carefully pick as much meat as possible from the shell and set aside.Melt the coconut oil over medium heat in a large skillet. Heat the cinnamon sticks, cardamom, salt, cumin, coriander, turmeric and star anise in the coconut oil until fragrant. Add the chopped onions and bell peppers plus garlic to the spices and oil. Save time by shredding the bell peppers, onions and garlic finely in a food processor if you prefer a finer-textured curry.Add the fresh or canned crab meat and crushed tomatoes, mix with the vegetables and spices thoroughly.Cook for 10 minutes, stirring occasionally, until the vegetables have cooked until soft and the flavors are concentrated.Remove the cinnamon sticks and star anise, then top with chili flakes, additional crab meat and fresh coriander, if desired.Serve warm.","The recipe Easy Crab Curry could satisfy your Indian craving in around <b>30 minutes</b>. Watching your figure? This caveman, gluten free, dairy free, and primal recipe has <b>165 calories</b>, <b>18g of protein</b>, and <b>5g of fat</b> per serving. For <b>$1.7 per serving</b>, this recipe <b>covers 26%</b> of your daily requirements of vitamins and minerals. This recipe is liked by 155 foodies and cooks. Plenty of people really liked this main course. A mixture of crab meat, chili flakes, coriander, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the whole star anise you could follow this main course with the <a href=""https://spoonacular.com/recipes/mini-star-anise-scones-130795"">Mini Star-Anise Scones</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/curry-crab-rangoon-542573"">Curry Crab Rangoon</a>, <a href=""https://spoonacular.com/recipes/curry-crab-sandwiches-425192"">Curry Crab Sandwiches</a>, and <a href=""https://spoonacular.com/recipes/kerala-boatmans-crab-curry-99949"">Kerala Boatman's Crab Curry</a> for similar recipes.","2 bell peppers, chopped; 1 tsp chili flakes (optional); 2 cinnamon sticks; 1 tbsp coconut oil; 1 tbsp coriander; 1-3 oz crab meat (optional); 1 tbsp cumin; 2 whole crabs, cracked and cleaned or 12 oz canned crab, drained; 2 cloves of garlic, diced; 1/8 tsp ground cardamom; 1 large onion, chopped; 1 tsp salt; 1 cup crushed tomatoes; 1 tbsp turmeric; 3 whole star anise",169,5g,14g,18g
560787,Pistachio Crusted Tilapia,https://spoonacular.com/recipeImages/560787-312x231.jpg,middle eastern,7,20,http://littleleopardbook.com/2013/02/25/pistachio-basil-crusted-tilapia/,276.06,52.0,730,False,False,True,True,4,"Begin by sprinkling the salt and pepper on both sides of the tilapia.Next, squeeze the sweet lime over each piece of fish, flipping and covering completely.Allow to marinate in the juice while preparing the pistachio crumb mix.Place the pistachios and basil into a small food processor and blend.Place the mixture in a shallow bowl then coat each side of the tilapia.Heat the olive oil in a cast iron skillet over medium heat, then add the tilapia to the skillet.Be sure the skillet is not too hot or the crust will burn before the fish is cooked through.Cook for 3-4 minutes per side, or until the fish is light white and flakey.Garnish with extra sweet limes and basil (if so desired)!Serve as the main dish with fresh veggies for a gluten-free and paleo dinner.","Pistachio Crusted Tilapian is a <b>caveman, gluten free, dairy free, and primal</b> main course. For <b>$2.76 per serving</b>, this recipe <b>covers 19%</b> of your daily requirements of vitamins and minerals. One serving contains <b>298 calories</b>, <b>29g of protein</b>, and <b>17g of fat</b>. If you have lime, basil, kosher salt, and a few other ingredients on hand, you can make it. To use up the black pepper you could follow this main course with the <a href=""https://spoonacular.com/recipes/dr-pepper-cake-with-flour-cooked-frosting-539165"">Dr. Pepper Cake with Flour Cooked Frosting</a> as a dessert. 730 people have made this recipe and would make it again. From preparation to the plate, this recipe takes roughly <b>20 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/pistachio-crusted-tilapia-and-peach-salad-+-cookbook-giveaway-610160"">Pistachio Crusted Tilapian and Peach Salad + Cookbook Giveaway</a>, <a href=""https://spoonacular.com/recipes/crusted-tilapia-85045"">Crusted Tilapia</a>, and <a href=""https://spoonacular.com/recipes/parmesan-crusted-tilapia-446695"">Parmesan-Crusted Tilapia</a> for similar recipes.",1/2 tsp black pepper; 1/4 cup fresh basil; 1/2 tsp kosher salt; 1 sweet lime (or lemon); 1 tsp olive oil; 1 cup pistachios; 1 lb fresh tilapia,298,17g,10g,29g
